disc	folder	series	title
Disc 2	VOL5	Robinson Curriculum - Encyclopedia	Volume 05
Disc 2	VOL6	Robinson Curriculum - Encyclopedia	Volume 06
Disc 2	FR_RCTC	History	The Friendly Arctic (Stefansson)
Disc 3	VOL7	Robinson Curriculum - Encyclopedia	Volume 07
Disc 3	VOL8	Robinson Curriculum - Encyclopedia	Volume 08
Disc 3	VOL9	Robinson Curriculum - Encyclopedia	Volume 09
Disc 3	CH_BIBLE	Robinson Curriculum - Bible	Childrens Bible
Disc 4	VOL10	Robinson Curriculum - Encyclopedia	Volume 10
Disc 4	VOL11	Robinson Curriculum - Encyclopedia	Volume 11
Disc 4	VOL12	Robinson Curriculum - Encyclopedia	Volume 12
Disc 4	1ANS_MCH	Science	The Mechanical Universe Textbook Solutions
Disc 4	ANS_BMCH	Science	Beyond the Mechanical Universe Textbook Solutions
Disc 4	BE_UNI	Science	Beyond the Mechanical Universe
Disc 4	FSPSTR	Science	Freshman Physics Supplementary Problems (Caltech)
Disc 4	MECH_UNI	Science	The Mechanical Universe
Disc 4	STM_ND	Science	Statistical Mechanics
Disc 5	VOL13	Robinson Curriculum - Encyclopedia	Volume 13
Disc 5	VOL14	Robinson Curriculum - Encyclopedia	Volume 14
Disc 5	VOL15	Robinson Curriculum - Encyclopedia	Volume 15
Disc 5	ACCESS_E	Science	Access to Energy (Art Robinson)
Disc 5	CHEM_PR	Science	Chemical Principles
Disc 6	VOL16	Robinson Curriculum - Encyclopedia	Volume 16
Disc 6	VOL17	Robinson Curriculum - Encyclopedia	Volume 17
Disc 6	VOL18	Robinson Curriculum - Encyclopedia	Volume 18
Disc 6	NWSS	Science	Nuclear War Survival Skills (Kearny)
Disc 6	THERM_DY	Science	Thermodynamics
Disc 7	VOL19	Robinson Curriculum - Encyclopedia	Volume 19
Disc 7	VOL20	Robinson Curriculum - Encyclopedia	Volume 20
Disc 7	VOL21	Robinson Curriculum - Encyclopedia	Volume 21
Disc 7	CALVIN1	Calvins Institutes	Part 1
Disc 8	VOL22	Robinson Curriculum - Encyclopedia	Volume 22
Disc 8	VOL23	Robinson Curriculum - Encyclopedia	Volume 23
Disc 8	VOL24	Robinson Curriculum - Encyclopedia	Volume 24
Disc 9	VOL25	Robinson Curriculum - Encyclopedia	Volume 25
Disc 9	VOL26	Robinson Curriculum - Encyclopedia	Volume 26
Disc 9	VOL27	Robinson Curriculum - Encyclopedia	Volume 27
Disc 9	CALVIN2	Calvins Institutes	Part 2
Disc 10	VOL28	Robinson Curriculum - Encyclopedia	Volume 28
Disc 10	VOL29	Robinson Curriculum - Encyclopedia	Volume 29
Disc 10	KJBIBLE	Robinson Curriculum - Bible	King James Bible
Disc 11	DVOL1	Robinson Curriculum - Dictionary	Volume 01
Disc 11	DVOL2	Robinson Curriculum - Dictionary	Volume 02
Disc 11	DVOL3	Robinson Curriculum - Dictionary	Volume 03
Disc 11	DVOL4	Robinson Curriculum - Dictionary	Volume 04
Disc 11	DVOL5	Robinson Curriculum - Dictionary	Volume 05
Disc 11	DVOL6	Robinson Curriculum - Dictionary	Volume 06
Disc 12	DVOL7	Robinson Curriculum - Dictionary	Volume 07
Disc 12	DVOL8	Robinson Curriculum - Dictionary	Volume 08
Disc 12	DVOL9	Robinson Curriculum - Dictionary	Volume 09
Disc 12	DVOL10	Robinson Curriculum - Dictionary	Volume 10
Disc 13	1CWRSTR	The Soldier in Our Civil War	Volume 1
Disc 14	2CWRSTR	The Soldier in Our Civil War	Volume 2
Disc 16	AESOP	Aesops Fables	Aesops Fables
Disc 16	ALICE	Alice in Wonderland (Carroll)	Alice in Wonderland
Disc 16	HEIDI	Heidi (Spyri)	Heidi
Disc 16	PINNOCH	Pinocchio (Collodi)	Pinocchio
Disc 16	SWISS	The Swiss Family Robinson (Wyss)	The Swiss Family Robinson
Disc 16	JUSTSO	Just So Stories (Kipling)	Just So Stories
Disc 16	NURSERY	Classic Children	Nursery Rhymes
Disc 16	REBECCA	Rebecca of Sunnybrook Farm (Wiggin)	Rebecca of Sunnybrook Farm
Disc 16	COLUMBUS	Biographies	Christopher Columbus
Disc 16	GEORGE	Biographies	George Washington
Disc 16	H_USGRAN	Biographies	Our Hero General US Grant
Disc 16	T_J_ROBI	Tuck-Me-In Tales (Bailey)	The Tale of Jolly Robin
Disc 16	CH_H_H	Uncategorized	CH H H
Disc 16	JACK_WAR	Classic Children	Jacks Ward (Alger)
Disc 16	DO_AND_D	Classic Children	Do and Dare (Alger)
Disc 16	PADY_MUS	Sleepy-Time Tales (Bailey)	The Tale of Paddy Muskrat
Disc 16	REM_RET	Uncle Remus (Harris)	Returns (catalog)
Disc 16	SOL_OWL	Tuck-Me-In Tales (Bailey)	The Tale of Solomon Owl
Disc 16	UN_REM	Uncle Remus (Harris)	Songs and Sayings
Disc 16	MRV1	McGuffey Eclectic Readers	Primer
Disc 16	MRV2	McGuffey Eclectic Readers	First Reader
Disc 16	MRV3	McGuffey Eclectic Readers	Second Reader
Disc 16	MRV4	McGuffey Eclectic Readers	Third Reader
Disc 16	TS_AIR	Tom Swift	Tom Swift and His Airship
Disc 16	TS_AIS	Tom Swift	Tom Swift and His Air Scout
Disc 16	TS_MB	Tom Swift	Tom Swift and His Motor Boat
Disc 16	ROV_COLL	Rover Boys	Rover Boys at College
Disc 16	ROV_EAST	Rover Boys	Rover Boys in the East
Disc 16	ROV_HUNT	Rover Boys	Rover Boys on a Hunt
Disc 16	ROV_LAKE	Rover Boys	Rover Boys on the Great Lakes
Disc 16	ROV_LAND	Rover Boys	Rover Boys on the Land
Disc 16	ROV_OCEA	Rover Boys	Rover Boys on the Ocean
Disc 16	ROV_RIVE	Rover Boys	Rover Boys on the River
Disc 16	ROV_SNOW	Rover Boys	Rover Boys in the Snow
Disc 16	ROV_SOUT	Rover Boys	Rover Boys in the South
Disc 16	ROV_TOUR	Rover Boys	Rover Boys on a Tour
Disc 16	ROV_TRES	Rover Boys	Rover Boys and the Treasure
Disc 16	4NAVALHE	History	Four American Naval Heroes
Disc 16	50_FAM_S	Classic Literature	Fifty Famous Stories
Disc 16	5P_JL_P	Five Little Peppers (Sidney)	Adventures of Joel Pepper
Disc 16	5PBN_P	Five Little Peppers (Sidney)	Phronsie Pepper
Disc 16	5PHTGR	Five Little Peppers (Sidney)	And How They Grew
Disc 16	5PMIDWAY	Five Little Peppers (Sidney)	Midway
Disc 16	BBS_SC	Bobbsey Twins (Hope)	At School
Disc 17	BOB	Classic Children	Bob Son of Battle (Ollivant)
Disc 17	BOY_KNT	Classic Children	Boy Knight
Disc 17	BRAVE_BO	Classic Children	Brave and Bold (Alger)
Disc 17	CAP_COUR	Captains Courageous (Kipling)	Captains Courageous
Disc 17	CROCKET	Biographies	Davy Crockett
Disc 17	FAC_T_WO	Classic Children	Facing the World (Alger)
Disc 17	GULLIVER	Gullivers Travels (Swift)	Gullivers Travels
Disc 17	GWV1	Biographies	George Washington Vol 1
Disc 17	HANS_BRI	Hans Brinker (Dodge)	Hans Brinker or the Silver Skates
Disc 17	HIAWATHA	The Song of Hiawatha (Longfellow)	The Song of Hiawatha
Disc 17	HOUND	The Hound of the Baskervilles (Doyle)	The Hound of the Baskervilles
Disc 17	JB1	The Jungle Book (Kipling)	Volume 1
Disc 17	JB2	The Jungle Book (Kipling)	Volume 2
Disc 17	L_O_L_FT	Biographies	Life of General Lafayette (Young Folks)
Disc 17	LITTLE_M	Little Men (Alcott)	Little Men
Disc 17	LITTLE_W	Little Women (Alcott)	Little Women
Disc 17	MRV5	McGuffey Eclectic Readers	Fourth Reader
Disc 17	MRV6	McGuffey Eclectic Readers	Fifth Reader
Disc 17	PATHFIND	The Pathfinder (Cooper)	The Pathfinder
Disc 17	PIED_PIP	The Pied Piper of Hamelin (Browning)	The Pied Piper of Hamelin
Disc 17	PRIN_A_P	The Prince and the Pauper (Twain)	The Prince and the Pauper
Disc 17	REMUS	Uncle Remus (Harris)	Nights with Uncle Remus
Disc 17	REMUS2	Uncle Remus (Harris)	Told by Uncle Remus
Disc 17	SAWYER	Tom Sawyer (Twain)	Tom Sawyer
Disc 17	TS_SUB	Tom Swift	Tom Swift and His Submarine Boat
Disc 17	UP_F_SLA	Biographies	Up From Slavery (Washington)
Disc 17	US_GRNT1	Biographies	Ulysses S Grant Memoirs Vol 1
Disc 17	US_GRNT2	Biographies	Ulysses S Grant Memoirs Vol 2
Disc 18	AFASHORE	Classic Literature	Afloat and Ashore (Cooper)
Disc 18	AOAQN	Classic Literature	Annals of a Quiet Neighbourhood (MacDonald)
Disc 18	CROCK	Biographies	Davy Crockett (alt)
Disc 18	EC_IN_1_	Economics	Economics in One Lesson (Hazlitt)
Disc 18	ECO_SOF	Economics	Economic Sophisms (Bastiat)
Disc 18	FRANKLIN	Biographies	Benjamin Franklin Autobiography
Disc 18	GWDV1	George Washington - Diaries	Volume 1
Disc 18	GWDV2	George Washington - Diaries	Volume 2
Disc 18	GWDV3	George Washington - Diaries	Volume 3
Disc 18	GWDV4	George Washington - Diaries	Volume 4
Disc 18	GWV2	Biographies	George Washington Vol 2
Disc 18	GWV3	Biographies	George Washington Vol 3
Disc 18	HOLY_WAR	The Holy War (Bunyan)	The Holy War
Disc 18	KIPLING	Classic Literature	Kiplings Verse Inclusive Edition
Disc 18	L_READ	Economics	Leonard Read Essay
Disc 18	LINCOLN	Biographies	Abraham Lincoln
Disc 18	MRV7	McGuffey Eclectic Readers	Sixth Reader
Disc 18	NOT_YOUR	Economics	Not Yours to Give (Crockett)
Disc 18	O_W_HOLM	Biographies	Oliver Wendell Holmes
Disc 18	PIL_PROG	Pilgrims Progress (Bunyan)	Pilgrims Progress
Disc 18	PUDD_W	Puddnhead Wilson (Twain)	Puddnhead Wilson
Disc 18	ROB_CRUS	Robinson Crusoe (Defoe)	Robinson Crusoe
Disc 18	ROLAND	Classic Literature	The Song of Roland
Disc 18	ROTHBARD	Economics	Rothbard Essays
Disc 18	SPY	The Spy (Cooper)	The Spy
Disc 18	THE_LAW	The Law (Bastiat)	The Law
Disc 18	TRES_ISL	Treasure Island (Stevenson)	Treasure Island
Disc 18	VICAR_WK	The Vicar of Wakefield (Goldsmith)	The Vicar of Wakefield
Disc 19	CICERO	Classical Literature	Cicero
Disc 19	DON_Q	Don Quixote (Cervantes)	Don Quixote
Disc 19	FEDERALI	History	The Federalist Papers
Disc 19	H_O_ANV1	History	The Heart of the Antarctic Vol 1 (Shackleton)
Disc 19	HETH_SNO	Classic Literature	Heather and Snow (MacDonald)
Disc 19	HUCK_FIN	Huckleberry Finn (Twain)	Huckleberry Finn
Disc 19	LIFE_O_M	Life on the Mississippi (Twain)	Life on the Mississippi
Disc 19	LSE	Classic Literature	Twenty Thousand Leagues Under the Sea (Verne)
Disc 19	MYST_I	Classic Literature	The Mysterious Island (Verne)
Disc 19	OL_TW	Oliver Twist (Dickens)	Oliver Twist
Disc 19	OVERKILL	Science	Environmental Overkill (Ray)
Disc 19	SHERMAN	Biographies	William Tecumseh Sherman
Disc 19	T_J_JACK	Biographies	Stonewall Jackson
Disc 19	T_S_ABRO	The Innocents Abroad (Twain)	The Innocents Abroad
Disc 19	THEOR_RO	Biographies	Theodore Roosevelt
Disc 19	WHIT_COM	Classic Literature	The White Company (Doyle)
Disc 20	CGWE	Classic Literature	Caesars Gallic War (English)
Disc 20	CHURCHIL	Biographies	Winston Churchill
Disc 20	ENT_AM	History	The Enterprising Americans (Chamberlain)
Disc 20	FARADAY	Science	Scientific Papers (Harvard Classics)
Disc 20	FIAT_M_F	Economics	Fiat Money Inflation in France (White)
Disc 20	H_O_ANV2	History	The Heart of the Antarctic Vol 2 (Shackleton)
Disc 20	HARVEY	Science	William Harvey
Disc 20	HISTORY	History	American Historical Documents (Harvard Classics)
Disc 20	IVANHOE	Ivanhoe (Scott)	Ivanhoe
Disc 20	J_DAV_V1	Biographies	Jefferson Davis Vol 1
Disc 20	J_DAV_V2	Biographies	Jefferson Davis Vol 2
Disc 20	JUL_CEAS	Shakespeare	Julius Caesar
Disc 20	LIN_S_AN	Biographies	Lincolns Speeches and Letters
Disc 20	NUCLEAR	Science	The Health Hazards of NOT Going Nuclear (Beckmann)
Disc 20	TOTC	A Tale of Two Cities (Dickens)	A Tale of Two Cities
Disc 20	WAR_STAT	History	A Constitutional View of the War Between the States
Disc 20	WORL_C	History	The World Crisis (Churchill)
Disc 21	50_YEAR	History	Fifty Years in the Royal Navy
Disc 21	BBS_AH	Bobbsey Twins (Hope)	Adventures of Hilltop (unconfirmed)
Disc 21	BBS_CTRY	Bobbsey Twins (Hope)	In the Country
Disc 21	BBS_HB	Bobbsey Twins (Hope)	Happy Birthday (unconfirmed)
Disc 21	BBS_M_B	Bobbsey Twins (Hope)	At Meadow Brook
Disc 21	BBS_SEA	Bobbsey Twins (Hope)	At the Seashore
Disc 21	BBS_SL	Bobbsey Twins (Hope)	At Snow Lodge
Disc 21	COM_S	Science	The Common Sense of the Exact Sciences (Clifford)
Disc 21	DTY_DIMP	Little Prudy (May)	Little Prudys Dotty Dimple
Disc 21	DTY_FLYA	Dotty Dimple (May)	Flyaway
Disc 21	DTY_GRAN	Dotty Dimple (May)	At Her Grandmothers
Disc 21	DTY_HOME	Dotty Dimple (May)	At Home
Disc 21	DTY_PLAY	Dotty Dimple (May)	At Play
Disc 21	DTY_WEST	Dotty Dimple (May)	Out West
Disc 21	GLWR_LT	Classic Literature	Caesars Gallic War (Latin)
Disc 21	HAMLET	Shakespeare	Hamlet
Disc 21	HENRY_V	Shakespeare	Henry V
Disc 21	J_L_VOL1	Philosophy	Locke - Essay Concerning Human Understanding Vol 1
Disc 21	J_L_VOL2	Philosophy	Locke - Essay Concerning Human Understanding Vol 2
Disc 21	MACHIAVL	The Prince (Machiavelli)	The Prince
Disc 21	MAST	Uncategorized	MAST
Disc 21	MILTON	Paradise Lost (Milton)	Paradise Lost
Disc 21	MILTON1	Paradise Lost (Milton)	Paradise Regained
Disc 21	NEWTON	Classic Literature	Newtons Observations on Daniel and the Apocalypse
Disc 21	PRUD_SIS	Little Prudy (May)	Sister Susy
Disc 21	RM_CL_WR	Classic Literature	Caesar - The Civil Wars (Loeb)
Disc 21	RUTH_B_H	Ruth Fielding	At Briarwood Hall
Disc 21	RUTH_COL	Ruth Fielding	At College
Disc 21	RUTH_GYP	Ruth Fielding	Among the Gypsies
Disc 21	RUTH_H_B	Ruth Fielding	Homeward Bound
Disc 21	RUTH_M_P	Ruth Fielding	Moving Pictures
Disc 21	RUTH_R_C	Ruth Fielding	Red Cross
Disc 21	RUTH_RED	Ruth Fielding	Red Mill
Disc 21	RUTH_SNO	Ruth Fielding	Snow Camp
Disc 21	RUTH_SRH	Ruth Fielding	At Silver Ranch
Disc 21	RUTH_SUN	Ruth Fielding	Sunrise Farm
Disc 21	RUTH_WAR	Ruth Fielding	On the War Front
Disc 21	ULT_RES2	Economics	The Ultimate Resource 2 (Simon)
Disc 21	W_O_N	The Wealth of Nations (Smith)	The Wealth of Nations
Disc 22	ACRO	Classic Children	The Young Acrobat (Alger)
Disc 22	ANDY_GR	Classic Children	Andy Grant
Disc 22	BBS_BLUE	Bobbsey Twins (Hope)	On Blueberry Island
Disc 22	BBS_DBS	Bobbsey Twins (Hope)	On the Deep Blue Sea
Disc 22	BBS_G_C	Bobbsey Twins (Hope)	In a Great City
Disc 22	BBS_GWS	Bobbsey Twins (Hope)	In the Great West
Disc 22	BND_RISE	Classic Children	Bound to Rise (Alger)
Disc 22	BOR_ROCK	Border Boys (Deering)	In the Canadian Rockies
Disc 22	BOY_LAKE	Classic Children	The Boy Pilot of the Lakes
Disc 22	CAMP_PUT	Putnam Hall (Stratemeyer)	Camping Out Days at Putnam Hall
Disc 22	CHAR_COD	Classic Children	Charlie Codmans Cruise (Alger)
Disc 22	CHIRP_CT	Tuck-Me-In Tales (Bailey)	The Tale of Chirpy Cricket
Disc 22	DICK_CAD	Dick Hamilton (Garis)	Cadet Days
Disc 22	DICK_FOR	Dick Hamilton (Garis)	Fortune
Disc 22	DOG_SPOT	Classic Children	Dog Spot
Disc 22	ELS_CH	Elsie Dinsmore	Elsies Children
Disc 22	ELS_DIN	Elsie Dinsmore	Elsie Dinsmore
Disc 22	ELS_GIR	Elsie Dinsmore	Elsies Girlhood
Disc 22	FIDDLE	Classic Children	Phil the Fiddler (Alger)
Disc 22	FRK_CASH	Uncategorized	FRK CASH
Disc 22	FRNK_CAM	Classic Children	Franks Campaign (Alger)
Disc 22	FRONTW	Border Boys (Deering)	Across the Frontier
Disc 22	GORDON	Classic Children	Andy Gordon (Alger)
Disc 22	HARY_H_S	Classic Children	Harry Watsons High School Days
Disc 22	HEC_INHE	Classic Children	Hectors Inheritance (Alger)
Disc 22	HTD_MINE	Classic Children	The Haunted Mine (Castlemon)
Disc 22	IRISH	Classic Children	Only an Irish Boy (Alger)
Disc 22	JED_POOR	Classic Children	Jed the Poorhouse Boy (Alger)
Disc 22	JOE_LUCK	Classic Children	Joes Luck
Disc 22	LUKE_WAL	Classic Children	Luke Walton
Disc 22	MIL_ELS	Elsie Dinsmore	Millie and Elsie
Disc 22	MKWAY	Uncategorized	MKWAY
Disc 22	OFFI_REP	Classic Children	From Office Boy to Reporter
Disc 22	PAUL	Classic Children	Paul the Peddler (Alger)
Disc 22	PNY_ALKL	Pony Rider Boys	In Alkali
Disc 22	PNY_MONT	Pony Rider Boys	In Montana
Disc 22	PNY_NMEX	Pony Rider Boys	In New Mexico
Disc 22	PNY_ROCK	Pony Rider Boys	In the Rockies
Disc 22	RED_WOOD	Tuck-Me-In Tales (Bailey)	The Tale of Reddy Woodpecker
Disc 22	RIS_RANK	Classic Children	Risen From the Ranks (Alger)
Disc 22	ROV_AIR	Rover Boys	Rover Boys in the Air
Disc 22	ROV_CAMP	Rover Boys	Rover Boys in Camp
Disc 22	SAM_CH	Classic Children	Sams Chance (Alger)
Disc 22	SLOW_SUR	Classic Children	Slow and Sure (Alger)
Disc 22	STR_SUC	Classic Children	Strive and Succeed (Alger)
Disc 22	TOM_SMC	Tom Swift	Tom Swift and His Motor Cycle
Disc 22	TOM_SWC	Tom Swift	Tom Swift and His Wizard Camera
Disc 22	TOM_SWE	Tom Swift	Tom Swift and His Electric Runabout
Disc 22	TOM_SWM	Tom Swift	Tom Swift and His Wireless Message
Disc 22	TRAIN	Classic Children	The Erie Train Boy (Alger)
Disc 22	WAL_PROB	Classic Children	Walter Sherwoods Probation (Alger)
Disc 22	WON_CAPT	Wonder Island Boys (Finlay)	Volume 1
Disc 22	WON_CAST	Wonder Island Boys (Finlay)	Volume 2
Disc 22	YOU_SALE	Classic Children	The Young Salesman (Alger)
